text,label
Q: How do you handcuff a one-armed man?<br>A: wow really?,0
Q: is it my turn?r what do you want to accomplish in life?(:<br>A: have a happy family [:,0
Q: whatss up with people hatingg on you jit. you better not be fighting anyone  that&apos;s trashy and stupid lauraaa  but you know i always got your back. and you dont have an ugly body so stop agreeeing with them dumbass. i love you.<br>A: Hah love you bAby gurlll<33,1
Q: yeee  119 questions to date  awesummm [:<br>A: fuck yew,1
Q: haha te irias del pais? :)<br>A: Si pero me iria porque quiero vivir en L.A. y lo utilizaria como una excusa :P,0
Q: Do you know how to play poker?<br>A: i wish i did.,0
Q: YOU FRENDZZ Wiff MEH BestiE KRISSy>?! IT BE TOOTsiE!(=<454333 oh YEAHP I LUH HERM (:<br>A: Who is thiss fer real??,0
Q: Have you ever walked away from someone who meant alot to you?<br>A: Yes but it was for the good. They meant a  lot to me at the time  but at the time I was being a stupid girl. :l,0
Q: What is one thing that you&#039;ve been caught doing that embarrassed you for the longest time?<br>A: jacking off  by a Family Member,0
Q: Emo??? It&#039;s Say Anything  I&#039;d say it was closer to Indie my love.<br>A: Same thing :P lol!,0
Q: yummyyyy jordan is sexxyyyyy! lemme get a lick!<br>A: hahahahahaha  who is this?,0
Q: HARDERRRR<br>A: ....r ;),0
Q: Love me or hate me?<br>A: Love you. &quot;SHARE THE LOVEEEEEE!!! You feeling it?&quot;,0
Q: What would you like to have named after you?<br>A: a kids cereal. :],0
Q: Do you like Vitamin Water?<br>A: No. Its not as good for you as &quot;they&quot; say. Water is best for me :],0
Q: are you gay?<br>A: hahahaha who are you?,1
Q: What do you think of women/girls that let too many guys into their hearts at once? Like jumping from one guy to the next in a matter of DAYS?<br>A: slut,1
Q: what would you do if you were wading through a river and all of a sudden a fish jumped out of the water and puked on your shoulder and then called you a fucking bitch?<br>A: hahha laugh. really hard!! :),0
Q: Do you still hate formspring? I still do.: I miss the simplicity.<br>A: yep yep,0
Q: If you could master one skill what would it be?<br>A: To never sin bhut will NEVER happen! See im already sinning  Never say never!,0
Q: Have you bought any new clothing items this week?<br>A: Nooo unfortunately.,0
Q: Do you lick dick?<br>A: hahah WHAT???,1
Q: does your dick have a name? hah<br>A: It has many names. Most of the time I call it big victor  Pleasure  and even Dakotah.,1
Q: Oh man! .. I loved Gutterboard! lol .. I was the mantis at that game XD lol .. Ever have some kind of &apos;classic&apos; moment while playing Gutterboard ?? .. I did lmbo ..<br>A: yeh i wanted to make a career out of lit like dodgeball and stuff lol wow what a dreamer lol,0
Q: who da baby daddy?<br>A: hahaha  ashley you're dumb (;,0
Q: Hehe thankss :)<br>A: hehe your welcome so your into girls huh:),0
Q: can you roll fags? I CAN! im really good with my finger ;)<br>A: I can't really no  don't smoke. Don't need to :)  Im sure your fingers must come in handy then :P lol,0
Q: hiii; doing good. jus chillin<br>A: kool that wasup:) so wat is your name cutie:),0
